device,metric1,metric2,metric3,years
W1F0W2BX,2697888,3,202343,19
W1F0W2DH,44362048,6,384671,32
W1F0W3GE,115738944,8,239420,32
W1F0W5AQ,110247384,13,185983,16
W1F0W5XL,37260216,6,215476,16
W1F0W63P,103963784,6,216406,16
W1F0W685,34912488,10,201579,20
W1F0W6QD,23766320,7,194188,20
W1F0W8BD,226894384,12,186506,20
W1F0W9SR,22987328,12,245819,24
W1F0WBTM,108442392,12,237491,24
W1F0WJFT,193938760,9,217819,24
W1F0WJHE,25032720,13,185326,28
W1F0WK71,53828000,6,241261,28
W1F0WKE1,169323192,8,296791,32
W1F0WKLP,212066328,6,196564,32
W1F0WKMJ,142032928,6,240309,20
W1F0WLZP,196112264,12,243920,20
W1F0WMPM,176230480,6,194794,20
W1F0WN8P,218331848,7,191519,28
W1F0WRX5,196837352,10,219605,28
W1F0WW7E,78556416,13,190342,28
W1F0WZ0P,226982064,11,197300,19
W1F0X3H8,197766920,6,244734,23
W1F0X3MJ,181785960,11,213691,23
W1F0X3PH,208528880,7,190223,27
W1F0X3PR,226827456,6,221304,31
W1F0X3ZX,100067568,6,220329,26
W1F0X44B,155604320,8,202212,26
W1F0X47B,135597248,9,197460,26
W1F0X47W,190203784,12,220186,20
W1F0X4AK,19847352,6,200028,20
W1F0X4CX,161946400,13,188573,18
W1F0X4F6,63732264,12,222969,18
W1F0X4FC,37792288,7,219303,20
W1F0X4TS,122177208,11,135966,17
W1F0X4VZ,24214144,13,244150,18
W1F0X4ZX,191763984,13,296288,18
W1F0X5GW,129164320,8,243940,16
W1F0X5HV,13780944,15,217565,16
W1F0X5J5,126447040,5,191336,20
W1F0X5JF,56991888,6,199318,20
W1F0X5JV,217280160,7,186975,20
W1F0X5KA,214266384,13,217561,20
W1F0X5KT,108596032,11,190842,28
W1F0X5KX,205623488,8,166278,28
W1F0X5L3,186610208,6,385764,28
W1F0X5L8,227213792,11,221429,28
W1F0X5N2,73820080,5,190964,22
W1F0X5TL,0,12,214817,22
W1F0X5VA,25795496,16,218284,19
W1F0X60T,174533488,9,218765,19
W1F0X6CF,184145040,6,241908,19
W1F0X6HZ,30720400,10,190662,23
W1F0X6KZ,13494176,9,196804,33
W1F0X6SQ,9556952,11,216283,33
W1F0X6TM,214650840,7,198541,18
W1F0X6V0,175031320,11,213515,19
W1F0X6VJ,141941680,7,216944,23
W1F0X70N,165583552,13,186288,23
W1F0X711,18538632,15,217590,23
W1F0X7P2,33224832,13,216960,25
W1F0X7PR,13138392,9,191343,21
W1F0X7QX,162013456,12,217686,21
W1F0XKWR,89660704,7,30,25
W1F0Y13C,234318640,4,185772,25
W1F0Y2PY,132033080,5,182050,25
W1F0YJ6K,216100528,7,30,25
W1F0YKBQ,24431928,8,24,25
W1F0YKEW,65557072,23,45,27
W1F0Z1W9,222379808,12,215998,27
W1F0Z2JE,173952208,12,262571,27
W1F0Z3FW,168577464,8,209341,25
W1F0Z3G1,88734648,14,236610,25
W1F0Z3KR,154806368,7,119375,25
W1F0Z491,57689816,7,383675,25
W1F0Z4AY,239303792,7,187008,29
W1F0Z4CF,39991296,9,386234,29
W1F0Z4EA,158082880,6,246340,16
W1F0Z4SP,37928256,8,192925,27
W1F0Z4W7,144878520,10,388409,31
W1F0Z4X0,157461376,7,375195,31
W1F0Z4X2,46248000,8,295080,21
W1F0Z569,22964480,8,242824,25
W1F0Z56F,145952576,10,387940,25
W1F0Z588,97067752,6,236785,20
W1F0Z5T8,228491272,9,235927,21
W1F0Z62G,56559256,9,193237,24
W1F0ZDTJ,117151648,7,199543,20
W1F0ZG5V,244111264,8,383350,26
W1F0ZJK8,216946928,8,185335,26
W1F0ZK0H,109802712,8,187634,22
W1F0ZVD8,59489688,14,313829,19
W1F10Y8K,214392992,9,186716,20
W1F111C6,56551080,10,404371,24
W1F111N7,114125368,8,185888,24
W1F111Q7,130770768,12,402805,28
W1F11CR1,231278624,9,404968,28
W1F11FCC,188801784,6,283678,28
W1F11JQW,76618616,9,403149,32
W1F11ZG9,193036136,2,321220,32
W1F1230J,160609528,14,307719,28
W1F12JLS,59739048,16,314853,20
W1F12JRF,31336336,6,200799,21
W1F12KWT,233573248,6,198266,25
W1F1335J,91519632,9,282973,27
W1F133A0,79301392,10,200271,28
W1F1354W,106183632,8,207854,28
W1F13B09,6749024,8,406749,32
W1F13SJ7,34580480,10,29,32
W1F13SRV,144915568,6,24475,24
W1F14FS4,2528512,5,222865,23
W1F14GTK,109536632,20,315242,23
W1F14GWF,100896256,7,283876,27
W1F14H94,139443744,23,225858,27
W1F14HAQ,79553744,9,405680,21
W1F14N6K,82203512,14,319943,21
W1F14NBM,214457408,14,218409,22
W1F14NE5,21659944,9,354849,19
W1F14XGD,230120824,12,201025,23
W1F14XK6,102362080,10,403598,22
W1F15NRT,26073952,9,405744,26
W1F15P5S,43727248,8,185305,30
W1F15S4D,92530096,6,96545,30
W1F16RA7,229238112,11,185543,34
W1F17D9Z,173035368,10,187690,38
W1F17DKS,15352928,11,197121,38
W1F17E35,111677360,10,200658,22
W1F17GR6,169807832,12,130739,26
W1F17RLV,19301992,9,200359,32
W1F181WP,178148616,24,46,23
W1F18TKX,164894928,11,186018,22
W1F18YT8,98997784,12,226503,22
W1F19BPT,50941304,23,45,22
W1F19J5Q,156726952,8,228901,27
W1F19LPJ,14368184,12,229081,31
W1F1A4H9,18959200,5,18,22
W1F1AN6A,96347832,11,39,22
W1F1AQ6G,208637840,5,12,29
W1F1ARYY,110766392,8,262785,33
W1F1B0KF,188684704,10,2050,28
W1F1BAE6,243385544,9,21,23
W1F1BFHS,234083448,7,25,27
W1F1BFMS,208761592,13,42,20
W1F1BFP5,141049448,8,139874,27
W1F1BFRJ,187606560,13,42,27
W1F1BFZT,93512992,10,29,23
W1F1BG0P,158511128,9,27,19
W1F1BG4H,19012656,11,35,19
W1F1BGAB,127153024,8,26,21
W1F1BQNS,215070840,9,282289,25
W1F1BQTN,33358936,9,199109,22
W1F1BRM3,18149416,9,220602,26
W1F1BS0H,78866488,14,267374,30
W1F1BS9T,7547928,12,229417,34
W1F1BTB2,192273912,16,317944,24
W1F1BW8W,27121440,12,228844,24
W1F1BZTM,139929672,13,42,24
W1F1C0R9,92789936,11,201515,24
W1F1C51R,111948232,10,409333,22
W1F1C9HM,9275072,7,25,22
W1F1C9TE,209936896,10,7489,26
W1F1C9WG,86203992,13,42,26
W1F1CA72,36967800,8,26,28
W1F1CAKS,16719872,8,24,28
W1F1CB5E,164185360,9,25,22
W1F1CCGF,241082272,10,29,22
W1F1CDDP,2165592,8,190301,26
W1F1CDRE,206936512,7,19,26
W1F1CHY9,81505552,20,275861,26
W1F1CHZK,199302352,8,262286,30
W1F1CJ1K,100157320,9,198295,30
W1F1CJ27,32468296,12,226710,32
W1F1CJ3G,226804056,8,210411,32
W1F1CJKT,207883032,8,261753,20
W1F1CJXM,147891384,7,197710,20
W1F1CK1V,33169856,13,227880,20
W1F1CK5G,172765584,11,200600,20
W1F1CKB5,210940096,9,198065,24
W1F1CKJZ,70676560,9,186519,24
W1F1CKKW,88542848,16,306119,24
W1F1CKSX,157459024,9,283531,24
W1F1CKXZ,168473496,12,218368,31
W1F1CL1K,184626152,17,321634,28
W1F1CL8Q,20083352,11,228549,25
W1F1CLBY,6577576,9,184159,25
W1F1CLED,166977128,9,404111,26
W1F1CLH3,85663616,9,200305,25
W1F1CLJG,8902408,8,228343,29
W1F1CLNF,42476336,11,235469,25
W1F1CM57,40675072,5,18,21
W1F1CM7H,125685752,12,40,33
W1F1CM93,199395440,12,40,30
W1F1CMCY,146417736,5,19156,34
W1F1CMFD,14876624,5,18,34
W1F1CMG4,217823736,5,18,32
W1F1CMJW,189252320,5,19,32
W1F1CMVG,172537600,10,28,23
W1F1CMVW,106023872,13,42,27
W1F1CNV3,43083896,9,27,23
W1F1CZLY,63083832,11,199434,27
W1F1D899,230373088,7,197300,19
W1F1D8GZ,116336424,10,405205,19
W1F1D93M,35852072,7,197720,23
W1F1D99S,119787904,9,186161,23
W1F1DA55,48118176,13,42,23
W1F1DABR,119042768,10,27,23
W1F1DN0Y,58412944,24,227023,31
W1F1DN3S,108602968,11,200941,18
W1F1DNYH,55085232,11,198572,22
W1F1DPSA,36396096,11,35,21
W1F1DQ6A,153756064,5,18,25
W1F1DQJD,98357784,4,8,47
W1F1DQN8,86045688,10,27,47
W1F1DQQT,212573176,9,27,31
W1F1DQR9,103119744,8,26,26
W1F1DX8D,161226448,25,235749,26
W1F1FHEK,45332328,13,42,20
W1F1FZ8B,104063536,11,34,24
W1F1GLFN,225937872,5,217373,24
W1F1GMWX,55415160,6,23,24
W1F1MRP9,186653312,6,210130,28
W1F1MTM2,111450872,6,262303,28
W1F1N4CT,36314712,8,284108,28
W1F1N6V6,100552400,6,223126,28
W1F1NS0C,71554416,6,222058,32
W1F1NSHB,87626592,7,273959,32
W1F1NTWG,129229392,8,260013,30
W1F1Q5EF,62998904,4,153052,24
W1F1ZVME,112391808,37,273995,24
Z1F02KDL,12817320,7,261905,25
Z1F02MRX,85541776,5,212024,25
Z1F02NBQ,93724808,5,214430,25
Z1F04CA7,79137144,5,189184,25
Z1F04GCH,155095880,13,286053,30
Z1F06WA0,173048840,9,380405,25
Z1F0AHAT,62221640,8,240090,24
Z1F0AM4J,175087384,4,307836,24
Z1F0B4XZ,209608016,10,259834,28
Z1F0BA45,130849392,8,378172,28
Z1F0BF9X,36820728,12,197041,28
Z1F0CBSH,241822488,5,314626,28
Z1F0CRT8,52728720,10,282936,32
Z1F0D8DV,19720208,5,401445,32
Z1F0DZAQ,230842048,18,202514,32
Z1F0E1CS,241311632,10,285957,32
Z1F0E2J2,217639288,13,195843,32
Z1F0E74T,175301872,5,187220,26
Z1F0EWVK,206889832,36,270914,26
Z1F0FAZJ,168700736,5,261772,27
Z1F0FSBY,193437680,5,182277,27
Z1F0G55J,184326776,38,246833,20
Z1F0GB8A,142794400,6,201254,25
Z1F0GE1M,237174696,7,197371,23
Z1F0K451,97013528,7,269283,27
Z1F0KJDS,75105368,8,199835,27
Z1F0KKN4,239475080,6,197033,18
Z1F0KQWF,154685008,12,286150,22
Z1F0KSLS,214761152,66,224168,24
Z1F0KZ3H,182787440,13,192781,22
Z1F0L2VS,15570896,94,221320,22
Z1F0L3BL,210687392,6,279183,22
Z1F0L4J2,116522520,10,206892,17
Z1F0L4S8,50755064,6,204938,17
Z1F0L4T5,200997664,10,317075,17
Z1F0L4Y0,175841832,7,205583,22
Z1F0L55E,240650728,6,200910,22
Z1F0L613,156324192,60,218826,25
Z1F0L6BY,91951056,60,219594,25
Z1F0L6DJ,82919640,63,219965,21
Z1F0L78Z,241444520,6,206552,21
Z1F0L7M8,41415136,6,204587,25
Z1F0L7NS,192138568,7,206822,25
Z1F0L7NZ,59021320,8,204801,23
Z1F0L7PX,84600704,11,281177,23
Z1F0LB4J,44390728,7,279726,23
Z1F0LBBG,144918648,6,289896,29
Z1F0LBT6,178608536,6,200240,33
Z1F0LCDA,21664864,6,193874,25
Z1F0LH2M,189233400,8,428657,21
Z1F0LH7B,68256376,10,432420,21
Z1F0LH7E,119765312,5,199167,25
Z1F0LJTD,125246840,5,204364,25
Z1F0LKBP,53111032,5,148353,25
Z1F0LKEE,144500808,10,445428,29
Z1F0LKMJ,23078160,10,444593,22
Z1F0LKWC,200109832,9,436079,22
Z1F0LKX4,205911352,10,436681,22
Z1F0LL7D,90530088,8,279481,22
Z1F0LLED,10915992,7,280186,26
Z1F0LLFY,64250696,58,219585,26
Z1F0LLKC,227964472,78,220772,26
Z1F0LLKR,72252656,9,441380,26
Z1F0LLPJ,164621384,8,447597,20
Z1F0LLPS,229430488,9,443556,20
Z1F0LLWH,218162848,6,200342,31
Z1F0LM11,162699960,8,280520,31
Z1F0LM6T,88861112,10,449245,24
Z1F0LNQB,165523032,9,436881,16
Z1F0LQGS,242138400,7,282471,20
Z1F0LQMH,83655872,7,205303,21
Z1F0LR8G,13558472,6,200230,18
Z1F0LRLQ,51733320,12,284637,18
Z1F0LSHN,72835304,12,287210,20
Z1F0LSNM,86857440,6,204784,20
Z1F0LSNZ,127712264,6,283810,20
Z1F0LSPT,31278352,7,281674,24
Z1F0LSQ2,228548280,6,200289,24
Z1F0LSQ4,45847712,7,291547,24
Z1F0LSXW,218657328,7,279898,23
Z1F0LT0S,19616576,6,292307,23
Z1F0LT3Y,83926144,9,433614,23
Z1F0LT4K,194743168,6,195741,23
Z1F0LT6P,165726864,7,174552,30
Z1F0LT6Z,74320512,5,193032,30
Z1F0LTAV,73643784,22,164663,19
Z1F0LV8X,18402920,7,293275,19
Z1F0LV93,49818320,9,445029,19
Z1F0LVEM,52936952,57,219603,23
Z1F0LVGY,121353416,7,293719,23
Z1F0LVL5,201877792,10,447176,20
Z1F0LVPW,209199760,7,279871,20
Z1F0M0TV,241968088,22,203056,20
Z1F0M0XP,235764256,10,288510,24
Z1F0M7QD,63024544,15,193693,24
Z1F0MA1S,140549984,7,197011,24
Z1F0MBGF,140213032,57,219534,28
Z1F0MCCA,57423632,12,307626,28
Z1F0MM43,100514408,15,248586,28
Z1F0MP8Q,42787072,6,237372,24
Z1F0MQJ2,186455264,17,195470,24
Z1F0MR6M,52538072,13,283939,24
Z1F0MRPJ,226282984,8,199130,24
Z1F0MSSJ,67657368,11,286353,28
Z1F0MTFT,81360440,12,247528,28
Z1F0MWE7,203936664,13,285591,28
Z1F0MXFY,233764856,10,218926,28
Z1F0MYCF,193948096,10,286622,32
Z1F0MYEL,47337144,36,248937,32
Z1F0N11J,37264904,15,196438,32
Z1F0N2WV,107582704,20,194981,32
Z1F0N5AD,175324368,68,219393,36
Z1F0N7VR,168581112,9,217527,36
Z1F0N8QM,194695064,3,198052,26
Z1F0NVZA,89934064,10,185310,26
Z1F0P16F,65714640,7,265323,26
Z1F0P5D9,146889912,29,245471,30
Z1F0PSHD,223134568,36,246407,30
Z1F0Q8RT,51898288,8,184062,20
Z1F0Q9H0,100423552,31,247023,27
Z1F0QGSE,30351120,30,248918,27
Z1F0QGWP,26974144,12,248751,26
Z1F0QH0C,129489160,7,199632,26
Z1F0QH7R,161697120,12,287119,32
Z1F0QHG2,203136104,22,195979,40
Z1F0QK05,113907728,8,197645,40
Z1F0QK7Z,94396464,20,170180,34
Z1F0QKA2,25247272,20,171193,34
Z1F0QKEW,150456312,20,202241,21
Z1F0QKGH,109574640,13,246851,22
Z1F0QKMV,57460824,10,285091,24
Z1F0QL3N,200702864,9,201235,24
Z1F0QLC1,71350416,7,198020,28
Z1F0QLC7,85587128,64,184692,28
Z1F0QQ5F,97186960,12,283693,28
Z1F0QSB1,211104536,20,200415,28
Z1F0QZJB,213439504,10,284563,25
Z1F0R8FZ,223027032,13,171478,23
Z1F0R8QZ,152656704,95,223190,23
Z1F0R9TM,138448904,19,196698,22
Z1F0RGNJ,104053800,20,197144,22
Z1F0RGQV,218999720,89,214637,22
Z1F0RL5B,50388816,14,173050,26
Z1F0VJ8V,130810184,15,40,23
Z1F0VNSW,5550872,5,188679,23
Z1F0W23J,236674632,8,406377,23
Z1F0WPTF,189138768,10,34,27
Z1F0WVLC,207045976,5,155008,27
Z1F0ZCPW,243667312,8,162630,27
Z1F118C9,211084160,5,226953,31
Z1F11B2R,53990024,5,328818,30
Z1F11BHF,123000064,5,211905,34
Z1F11RAE,150627824,8,235350,27
Z1F11SL0,183231424,8,176375,27
Z1F11SYE,60790408,7,183139,31
Z1F130LH,98183304,24,235992,31
Z1F1473X,228012976,8,224544,23
Z1F1479Y,111179192,8,184714,27
Z1F147WQ,185327416,8,155451,27
Z1F148T1,158452880,8,182606,31
Z1F14BGY,46639464,8,190051,31
Z1F14F5V,10058824,8,209577,31
Z1F14Z4F,115139728,8,204025,31
Z1F151C1,131699048,7,246359,35
Z1F156MQ,180580088,2,163781,35
Z1F15HYM,202222520,7,211660,35
Z1F15VY4,100144136,4,200744,35
Z1F161QC,215856664,4,240203,
Z1F1632F,211231464,4,237304,24
Z1F1652D,56856720,8,191613,41
Z1F1653X,154007624,8,172665,24
Z1F16BR1,57537584,6,155241,20
Z1F16G31,508584,4,373005,24
Z1F16LDN,134141520,8,225609,21
Z1F17XPD,11659192,2,198575,21
Z1F17YTD,199970344,3,199059,21
Z1F17Z3N,72710808,1,174065,21
Z1F17ZCN,165848616,3,193452,25
Z1F18YB3,201215312,8,227694,25
Z1F18YST,48070360,8,209167,25
Z1F1901P,14345648,8,222177,25
Z1F19ENW,113747592,6,19,29
Z1F19KMH,126100600,14,43,29
Z1F19QH0,73692296,15,44,29
Z1F19QM3,201970392,7,95477,33
Z1F19TP2,79036376,9,27,33
Z1F19TVX,21358480,11,88839,33
Z1F19VF5,185821440,9,217,33
Z1F1A0CJ,185715344,7,273204,33
Z1F1A0LM,242992744,7,230337,27
Z1F1A0RP,221809096,7,181475,31
Z1F1A1HH,218793488,7,209340,35
Z1F1A7MG,61316616,7,94924,25
Z1F1A83K,36209336,11,27,25
Z1F1AD0M,142624376,21,219110,25
Z1F1AF54,169111864,7,19,21
Z1F1AFF2,25012752,12,36,21
Z1F1AFT5,41973904,7,20,21
Z1F1AG5N,193717560,6,19,21
Z1F1AGLA,53282672,8,238487,29
Z1F1AGN5,152369448,8,271115,29
Z1F1AGW1,171637640,7,279827,29
Z1F1B6H4,117632152,7,18,27
Z1F1B6NP,190108232,11,28,35
Z1F1B799,130554640,14,42,21
Z1F1CZ35,52000488,7,209797,31
Z1F1FCH5,63559568,7,214696,31
Z1F1FZ9J,207996472,5,205515,28
Z1F1HEQR,26513208,4,164891,23
Z1F1HSWK,88886208,5,359637,23
Z1F1Q9BD,130742600,7,224459,26
Z1F1R76A,218656456,6,314970,30
Z1F1RE71,44407312,3,184247,38
Z1F1RJFA,243890056,4,312579,21
Z1F1VMZB,45340272,5,186491,21
Z1F1VQFY,16736808,6,224020,25
Z1F26YZB,193902776,1,271646,22
Z1F282ZV,161799176,1,171608,22
Z1F2PBHX,129475464,4,148008,20
S1F01085,1650864,6,407438,23
S1F0166B,191946112,6,403174,23
S1F01E6Y,192723440,12,238718,22
S1F01JE0,109398680,6,410186,22
S1F01R2B,200864456,15,313173,26
S1F01TD5,116964088,6,413535,26
S1F01XDJ,2211760,8,403892,26
S1F023H2,161679800,19,495730,26
S1F02A0J,63705712,14,311869,25
S1F02DZ2,75736784,9,407905,25
S1F02EVN,207699208,7,388146,25
S1F02L38,370600,2,216530,29
S1F02MGA,143057976,6,399286,22
S1F02P76,137391624,11,301679,22
S1F02VAX,111341488,3,380496,22
S1F02WFT,81025064,11,249515,22
S1F0318A,133534160,9,394890,26
S1F0322R,141021008,9,411399,26
S1F0330P,140945136,14,297284,26
S1F035SJ,13684376,9,389730,26
S1F0377V,192306528,14,321308,42
S1F039FE,32129064,4,394782,23
S1F03RV3,194483448,8,259369,23
S1F03YZM,75670840,7,200488,23
S1F044ET,181377384,5,227942,27
S1F049RX,3232336,7,395719,27
S1F04DH8,174740664,16,324354,22
S1F04KSC,209131472,3,339205,22
S1F04MVQ,204644368,4,367145,23
S1F04R7Y,212258728,7,398672,25
S1F04TS4,90161432,6,385366,29
S1F04Y6C,183713560,3,388821,25
S1F059G0,99204576,3,399158,25
S1F05AFP,167936512,3,378044,25
S1F05B1Q,10480624,4,387410,25
S1F05NAJ,149842384,4,337713,25
S1F05P51,204265168,5,332206,27
S1F05P5Z,234050816,4,332608,27
S1F06E04,123244632,5,375985,27
S1F06F7K,137966392,4,383073,27
S1F06R6W,215897688,2,397732,31
S1F06ZX2,137490856,9,405128,31
S1F08R94,208560904,4,326678,31
S1F08S38,55397624,4,334993,31
S1F09DZQ,34614880,6,381298,28
S1F09MAK,31592888,3,306534,24
S1F09MSM,169532376,3,339461,24
S1F0A1PX,53546712,4,331820,
S1F0A1VP,233690384,4,338741,
S1F0AADQ,226442760,7,381804,19
S1F0AEFT,223677472,9,393608,23
S1F0B3XA,153270168,4,343231,30
S1F0B5QJ,212279632,4,257578,19
S1F0BN0S,187018824,4,317067,19
S1F0BQZK,41828192,4,333239,19
S1F0BVK1,153889664,5,237028,23
S1F0BWZ3,169635312,7,354416,25
S1F0C95J,166867040,5,229780,25
S1F0CE60,138121792,6,215044,29
S1F0CSBR,138705824,4,304691,28
S1F0CSRZ,30477736,4,332141,24
S1F0CT09,81975752,4,335101,24
S1F0CT4F,19660080,4,351591,28
S1F0CTDN,72104024,9,382459,28
S1F0CTDY,56611416,4,338339,28
S1F0CTRL,86780400,4,341969,28
S1F0CVDS,50207992,4,346221,32
S1F0CVRM,18995120,4,334176,32
S1F0CVWK,234895480,7,350807,32
S1F0CVY5,168688656,5,317038,23
S1F0CWHW,203159128,4,321407,23
S1F0CWKN,148392096,4,339408,25
S1F0CWXJ,145813848,4,286450,25
S1F0DKAN,2560888,6,258759,22
S1F0DSTY,28803248,11,438000,26
S1F0E9EP,126870472,8,197887,21
S1F0EEP2,153560480,13,242731,25
S1F0EGMT,103740336,9,197669,25
S1F0EGSH,56980536,11,218309,33
S1F0F4EB,14323816,9,201527,33
S1F0F4G4,233541936,10,287182,35
S1F0FGBQ,41566632,9,171742,19
S1F0FP0C,189812584,9,200904,19
S1F0FVBE,240351224,14,289330,19
S1F0FW8K,171756216,92,220810,25
S1F0FZ8F,150651880,7,197607,26
S1F0G0XX,219593000,12,288195,26
S1F0G9ZF,21096752,70,221461,30
S1F0GCED,11965112,8,202219,30
S1F0GG8X,56613192,11,188813,20
S1F0GGJD,18689592,62,194926,17
S1F0GGPP,204747984,9,200723,17
S1F0GHJ1,64072520,58,221420,17
S1F0GJL9,75211128,63,223596,24
S1F0GJW3,137727352,8,202502,24
S1F0GKFX,128027960,65,224552,22
S1F0GKL6,11900096,90,222747,26
S1F0GPFZ,72397272,8,196570,30
S1F0GPXY,41727808,8,197533,16
S1F0GQCL,136415016,92,218937,24
S1F0GRB1,163454904,67,223369,24
S1F0GSD9,20571872,11,198938,16
S1F0GSHB,173750736,91,225332,24
S1F0GV0W,189457640,95,223182,26
S1F0H6JG,111038448,7,194319,24
S1F0H6JJ,169881384,32,251245,19
S1F0HWXJ,147390360,6,208328,32
S1F0J5JH,78445448,7,201536,36
S1F0JD7P,35649048,58,225644,18
S1F0JGJV,113670096,7,196815,22
S1F0JMRJ,130919328,39,255957,23
S1F0KY6R,150145224,14,286042,23
S1F0KYCR,198251016,9,200008,23
S1F0KZJJ,79431664,36,248730,23
S1F0L0DW,231456952,7,283299,21
S1F0L11K,224833016,6,207114,21
S1F0LBMG,232246664,7,282819,25
S1F0LBY2,152587680,11,445954,25
S1F0LC06,234164456,6,207785,25
S1F0LCKH,217681576,11,449569,29
S1F0LCQX,61030896,7,281363,29
S1F0LCS6,54787328,17,219974,29
S1F0LCSV,138034752,6,180634,33
S1F0LCTV,238613336,11,448353,33
S1F0LCVC,197826176,8,206015,20
S1F0LD15,163549216,6,283114,24
S1F0LD2C,188910528,12,437819,24
S1F0LD73,222414040,6,282146,28
S1F0LDB5,160937352,15,182232,28
S1F0LDED,188938032,7,201151,21
S1F0LDKM,128264904,7,207694,25
S1F0LDLW,81766992,7,207673,29
S1F0LE2X,86724520,16,196011,20
S1F0LEBM,174772064,5,202124,20
S1F0LHH2,144426872,8,199972,22
S1F0LL2X,234091648,6,207888,41
S1F0LLKM,123786616,11,200435,41
S1F0LQDQ,187281480,8,203846,21
S1F0LR01,4306960,9,169543,21
S1F0M2PQ,243639944,60,225100,20
S1F0MBV5,151110288,4,343076,19
S1F0P1K7,162864304,2,244290,19
S1F0P2B4,40283320,4,250572,19
S1F0P3G2,67760976,8,242452,18
S1F0PEVC,180010032,6,217009,18
S1F0PF59,52959936,6,245223,18
S1F0PF5Q,79105280,12,245506,28
S1F0PG6Z,95707528,10,200877,28
S1F0PGHQ,193594760,6,242619,32
S1F0PGZ6,149063208,5,245087,32
S1F0PJAJ,237680248,12,247898,32
S1F0PJJW,218453616,6,240607,30
S1F0PJZP,223320672,12,242415,21
S1F0PK2J,190548208,6,250384,25
S1F0PK70,34911152,7,213399,25
S1F0PL0R,103548056,6,221863,25
S1F0PL7D,142044024,6,242341,25
S1F0PLEL,3275592,7,218717,21
S1F0PXZL,123579976,8,380445,21
S1F0QF3R,106095704,12,201790,21
S1F0QWEQ,205841496,9,220023,25
S1F0QWGA,213133648,6,201423,25
S1F0QWGD,238280680,17,219413,29
S1F0QWPP,106540416,8,191439,29
S1F0QWV6,146904912,8,185511,29
S1F0QWWF,199548152,6,221164,25
S1F0QWYG,208402896,6,196719,14
S1F0QWZP,189724808,12,202874,14
S1F0QX41,143967520,17,220399,18
S1F0QX4C,186463344,12,186430,18
S1F0QXCB,233933000,8,201507,17
S1F0QXDD,123871896,8,188222,17
S1F0QXDQ,197452376,6,190378,17
S1F0QXM0,132992696,9,175469,21
S1F0QXNB,241786608,16,220025,21
S1F0QXRG,143415440,12,163552,21
S1F0QXTJ,182371376,17,217890,20
S1F0QXVD,58335528,6,218964,22
S1F0QXXH,52200448,13,217404,21
S1F0QXYA,100558480,13,186515,21
S1F0QXZS,154558640,9,191274,25
S1F0QY05,65052792,10,220123,25
S1F0QY0Q,16881264,5,210714,25
S1F0QY11,32796680,7,208967,26
S1F0QY1C,108401144,11,250209,26
S1F0QY71,117475144,13,217768,25
S1F0QY8S,83220592,11,191625,21
S1F0QYBJ,66143368,8,197503,25
S1F0QYJX,43129176,5,249956,25
S1F0QYLA,187156904,5,242337,20
S1F0QYMX,110387528,5,249796,20
S1F0QYND,78767184,6,249650,23
S1F0QYPA,11055136,8,185633,23
S1F0QYRB,110330288,10,211587,27
S1F0QYRS,210554256,11,218626,20
S1F0QYX3,86258696,16,219577,20
S1F0QYX4,232670848,8,189751,24
S1F0QYYB,225794208,11,246340,24
S1F0QZ0P,53183008,16,217411,22
S1F0QZSF,122885680,9,190676,22
S1F0QZXV,171739904,7,201766,22
S1F0QZYJ,185189272,11,249855,23
S1F0R0JT,169618312,17,218640,23
S1F0R0PX,26176080,12,217718,26
S1F0R12B,135693536,6,216786,26
S1F0R12Y,80872920,9,218320,27
S1F0R15Y,127055904,6,221654,27
S1F0R1GK,80950920,17,217588,18
S1F0R20R,221659304,10,218252,22
S1F0R2CW,121788584,9,219881,23
S1F0R2KW,201156808,8,218789,29
S1F0R2RJ,198587304,9,184664,23
S1F0R2S6,203915632,8,189307,22
S1F0R2SV,45748232,13,219223,22
S1F0R2VP,108764968,12,222293,26
S1F0R2VR,92191168,6,190174,26
S1F0R37Q,110570568,7,189852,29
S1F0R3FB,137122536,6,221072,29
S1F0R3JV,200267680,6,200292,29
S1F0R3LG,231654936,6,217162,21
S1F0R3N9,80287024,16,219047,21
S1F0R4JP,37763416,16,209646,21
S1F0R4JY,93755904,7,388778,38
S1F0R4Q8,98792592,6,196576,38
S1F0R4YC,75276784,11,216368,46
S1F0RG6V,223642376,8,186469,28
S1F0RKT7,68678616,9,334400,28
S1F0RM77,139718248,11,200393,28
S1F0RQLR,182101840,7,244421,32
S1F0RR0C,27879976,12,312015,32
S1F0RR2E,156292400,8,248396,23
S1F0RR35,215517192,12,264065,23
S1F0RR5M,35457352,10,193540,23
S1F0RR69,73546600,10,327793,23
S1F0RR7L,207830296,13,243870,19
S1F0RRB1,13307628,8,39267,19
S1F0RRDW,183099880,8,244580,19
S1F0RREN,70867496,11,200008,27
S1F0RRXY,220171672,6,385044,29
S1F0RS3B,233112656,7,247482,28
S1F0RS72,1210944,8,263309,28
S1F0RS81,135395304,13,247448,26
S1F0RSDT,209065056,8,194458,26
S1F0RSER,196852448,7,299006,26
S1F0RSFT,137174008,12,180301,26
S1F0RSG7,39609336,12,305096,26
S1F0RSML,1934224,13,383682,28
S1F0RSMR,206628136,9,244271,28
